GATE_LF_SB: -2391.057,248.9251,-1886.74,335.2625,1,0
GATE_LF_SU: 1498.946,-550.0754,1343.26,-461.7375,1,0
GATE_OF_LF: -2329.502,103.0909,-2013.038,99.37833,0,0
GATE_SI_LF: 1197.943,1114.925,976.2624,1050.262,1,0
LF_A01: -629.1582,-331.6086,-400.9247,-236.4363,0,1
LF_A02: 136.842,-447.6086,216.0754,-290.4366,0,1
LF_A03: 257.8421,262.3913,108.0755,286.5635,1,1
LF_A04: 1085.842,269.3914,924.076,304.5635,1,1
LF_A05: -1033.155,265.3918,-825.924,183.5637,1,1
LF_A06: 1474.845,259.3913,1182.072,300.5635,1,1
LF_A07: 1333.845,756.3909,1090.074,747.5636,1,1
LF_A10: -274.1582,206.3913,-15.92468,263.5635,0,1
LF_A11: 803.8418,-683.6086,798.076,-631.4364,1,1
LF_A12: 622.8416,-666.6083,605.0759,-614.4364,1,1
LF_A13: 679.8421,-552.6086,669.076,-482.4365,1,1
LF_A14: 1352.845,-567.6086,1226.072,-472.4365,1,0
LF_A15: -473.6433,289.1458,-423.6364,277.3113,1,1
LF_A17: 981.0752,-40.86462,1226.713,-99.54234,2,1
LF_B01: 489.8419,-358.6082,333.0755,-605.4364,1,1
LF_B02: 1161.844,10.39127,1344.072,-126.4363,2,1
LF_B03: 840.8418,-450.6086,709.076,-299.4365,0,1
LF_B04: -1596.155,-324.6086,-1303.928,-213.4363,1,1
LF_B05: 910.8418,-515.6085,805.1757,-503.9113,1,1
LF_C01: 1233.845,-451.6086,972.076,-298.4365,0,1
LF_C02: 465.8418,-447.6089,338.0752,-294.4365,0,1
LF_C03: -2082.155,246.3912,-1760.928,327.5635,1,1
LF_C05: 1334.333,980.1472,1092.027,873.0642,1,1
LF_COAST01: -258.9892,95.8343,-12.06028,94.05595,0,1
LF_COAST02: -521.4989,59.89325,-663.2365,160.7815,0,1
LF_COAST03: -1315.729,105.1817,-1662.777,171.2237,0,1
LF_COAST04: -2091.447,94.27608,-1895.89,95.56346,0,0
LF_COASTSHELTER: -2233.393,-9.14165E-05,-1936.965,-29.80352,0,0
LF_D01: 752.8418,74.39117,660.0762,-45.43647,2,1
LF_D02: -539.1582,141.3913,-303.9247,54.56344,2,1
LF_D03: 1686.845,280.3914,1422.072,131.5637,1,1
LF_D04: 1124.843,-630.6086,968.076,-586.4364,1,1
LF_D06: -767.1568,-169.6087,-514.924,-238.4363,2,1
LF_D07: 52.71073,-422.9485,-182.2566,-601.6029,1,1
LF_D08: -1443.386,-153.1466,-1212.98,-38.63034,1,1
LF_E01: 31.84222,76.39117,8.075444,-50.43613,2,1
LF_E02: 969.8418,205.3913,877.076,159.5637,0,1
LF_E03: 193.842,205.3913,233.0756,170.5639,0,1
LF_E04: 678.8421,372.3911,223.0754,403.5635,1,1
LF_E05: -1074.158,-331.6086,-1069.928,-214.4363,0,1
LF_F02: 1283.845,482.3914,995.076,431.5635,1,1
LF_H01: -392.1579,373.3914,-750.924,407.5635,1,1
LF_H02: -215.1581,-401.6086,-266.924,-303.4365,0,1
