GATE_OF_LF: 1672.281,71.26216,1184.767,111.2205,1,0
OF_A01: 702.2814,-8.737829,504.768,-6.779227,1,1
OF_A02: -1751.719,70.26209,-1105.232,32.22075,0,1
OF_A03: -253.1185,84.66231,-170.032,114.2207,1,1
OF_A04: 77.00686,-152.7128,75.09303,-139.7793,2,1
OF_A05: -887.2939,81.10942,-570.1736,68.4985,1,1
OF_A06: -933.6647,-52.7088,-578.4614,-63.45597,0,1
OF_A07: 624.6428,-137.7856,502.0002,-138.0714,2,1
OF_B01: -115.1185,-64.33778,-46.03189,-112.7792,2,1
OF_B02: -582.1185,-32.33786,-394.0319,35.22089,1,1
OF_B03: 31.00632,139.5094,8.426442,111.9983,1,1
OF_B04: 384.252,87.29119,217.3717,98.04391,1,1
OF_E01: 1201.281,54.26218,657.7683,101.2206,1,1
OffScreenDen_OF: -169.7187,-139.7381,-286.2319,-211.7791,1,1
Connection: GATE_OF_LF,OF_E01,2,9,243,15,2,0
Connection: OF_A01,OF_E01,40,28,3,11,1,2
Connection: OF_A01,OF_B04,7,8,109,11,3,3
Connection: OF_A01,OF_A07,44,5,43,25,0,0
Connection: OF_A03,OF_B01,51,23,2,55,3,2
Connection: OF_A03,OF_B02,21,19,97,21,3,0
Connection: OF_A04,OF_B01,3,23,42,7,2,0
Connection: OF_A05,OF_B02,54,20,4,23,3,2
Connection: OF_A05,OF_A06,48,6,40,30,3,1
Connection: OF_B01,OF_B03,42,61,24,23,0,3
Connection: OF_B03,OF_B04,59,23,28,7,3,3
