Palette: 4
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
overseersSpawnChance: 0.5
overseersMin: 0
overseersMax: 5
playerGuideOverseerSpawnChance: 0.0
Subregion: Drainage Canal
Room Setting Templates: Inside, Canal, Shore
Room_Attr: GATE_DS_DC: MirosBird-1,
Room_Attr: DC_S01: MirosBird-1,
Room_Attr: DC_ENTRANCE: MirosBird-1,
Room_Attr: DC_POOL: MirosBird-1,
Room_Attr: DC_ELBOW: MirosBird-1,
Room_Attr: DC_CANAL01: MirosBird-1,
Room_Attr: DC_BAT01: MirosBird-1,
Room_Attr: DC_BASEMENT: MirosBird-1,
Room_Attr: DC_CANAL02: MirosBird-4,
Room_Attr: DC_CANAL03: MirosBird-4,
Room_Attr: DC_CANAL04: MirosBird-4,
Room_Attr: DC_MIRO: MirosBird-4,
Room_Attr: DC_PIPE: MirosBird-1,
Room_Attr: DC_TURN: MirosBird-1,
Room_Attr: DC_COAST: MirosBird-1,
Room_Attr: DC_HOOK: MirosBird-1,
Room_Attr: DC_POND: MirosBird-1,
Room_Attr: DC_BOW: MirosBird-1,
Room_Attr: DC_ANKLE: MirosBird-1,
Room_Attr: DC_FALLDOWN: MirosBird-1,
Room_Attr: DC_S02: MirosBird-1,
Room_Attr: DC_HALL: MirosBird-1,
Room_Attr: DC_DRAIN: MirosBird-1,
Room_Attr: DC_PIT: MirosBird-1,
Room_Attr: DC_POCKET: MirosBird-1,
Room_Attr: DC_S04: MirosBird-1,
Room_Attr: DC_DROWN: MirosBird-1,
Room_Attr: DC_TRIPLE: MirosBird-1,
Room_Attr: DC_CURVY: MirosBird-1,
Room_Attr: DC_ARM: MirosBird-1,
Room_Attr: DC_UNDER: MirosBird-1,
Room_Attr: DC_S03: MirosBird-1,
Room_Attr: DC_BAT02: MirosBird-1,
Room_Attr: DC_GARDEN: MirosBird-1,
