GATE_DS_DC: -1484.8,108.7341,-972.9068,149.7081,2,0
DC_ENTRANCE: -1170.8,93.73408,-844.9068,147.7081,2,0
DC_POOL: -777.7996,73.73407,-522.9067,66.04145,2,1
DC_ELBOW: -857.2996,-126.5159,-523.6567,-62.95839,1,1
DC_CANAL01: -263.8995,71.08408,-296.8566,125.4415,2,1
DC_BAT01: 145.6004,73.41741,142.4767,116.7749,2,1
DC_HOOK: 116.3147,-70.72549,121.7624,-136.6537,2,1
DC_POND: 69.93966,-52.85042,-4.987823,-8.028725,1,1
DC_ANKLE: 394.2729,4.038433,313.4569,31.41569,1,1
DC_FALLDOWN: 572.7729,18.03845,433.9569,-111.0843,1,1
DC_HALL: 843.0453,192.0385,559.4113,165.0065,1,1
DC_DRAIN: 900.295,-151.1282,549.2446,-76.32674,1,1
DC_PIT: 1313.757,-202.6667,867.5523,-192.0191,0,1
DC_POCKET: 1562.4,-256.6667,1088.267,-171.7334,0,1
OffScreenDen_DC: -1363.8,225.7341,-909.9068,-43.29175,1,1
Connection: GATE_DS_DC,DC_ENTRANCE,45,11,5,16,0,2
Connection: DC_ENTRANCE,DC_POOL,143,17,12,53,0,2
Connection: DC_POOL,DC_CANAL01,91,26,3,7,0,2
Connection: DC_POOL,DC_ELBOW,16,3,16,32,3,1
Connection: DC_CANAL01,DC_BAT01,185,6,13,3,3,2
Connection: DC_BAT01,DC_HOOK,30,3,37,31,0,1
Connection: DC_HOOK,DC_POND,8,9,71,23,1,3
Connection: DC_POND,DC_ANKLE,141,24,7,6,0,2
Connection: DC_ANKLE,DC_FALLDOWN,44,29,5,84,0,3
Connection: DC_FALLDOWN,DC_HALL,44,135,4,16,0,2
Connection: DC_FALLDOWN,DC_DRAIN,31,7,10,6,3,2
Connection: DC_DRAIN,DC_PIT,142,19,8,52,0,2
Connection: DC_PIT,DC_POCKET,93,13,10,9,0,3
