GATE_SI_LF: 1113.445,1116.834,903.2986,1050.883,1,0
GATE_LF_SB: -2475.555,250.8342,-1959.702,335.8843,1,0
GATE_LF_SU: 1414.448,-548.1663,1270.298,-461.1157,1,0
LF_S04: -2412.919,150.5385,-1916.156,227.0661,1,0
LF_C05: 1249.835,982.0563,1019.065,873.686,1,1
LF_A07: 1249.347,758.3,1017.112,748.1855,1,1
LF_F02: 1199.347,484.3004,922.1122,432.1853,1,1
LF_A04: 1001.344,271.3004,851.1122,305.1853,1,1
LF_S02: 1323.347,209.3004,978.1122,289.1853,1,0
LF_A06: 1390.347,261.3004,1109.11,301.1853,1,1
LF_E04: 594.3443,374.3002,150.1116,404.1853,1,1
LF_A03: 173.344,264.3004,35.11178,287.1853,1,1
LF_H01: -476.656,375.3005,-823.8878,408.1853,1,1
LF_A15: -558.1413,291.0548,-496.6001,277.9331,1,1
LF_S06: -557.1101,186.4403,-496.31,151.3291,1,0
LF_A05: -1117.653,267.3009,-898.8878,184.1853,1,1
LF_J01: -1552.653,321.3005,-1446.89,331.1853,1,1
LF_C03: -2166.653,248.3003,-1833.89,328.1853,1,1
LF_D03: 1602.347,282.3005,1349.11,132.1853,1,1
LF_E02: 885.344,207.3004,804.1122,160.1853,0,1
LF_E03: 109.344,207.3004,160.1118,171.1855,0,1
LF_A10: -358.6563,208.3004,-88.88835,264.1853,0,1
LF_D02: -623.656,143.3004,-376.8884,55.1851,2,1
LF_D06: -851.6546,-167.6996,-587.8878,-237.8147,2,1
LF_S01: -906.654,32.30056,-707.8878,30.18524,2,0
LF_E01: -52.65585,78.30035,-64.88824,-49.81447,2,1
LF_D01: 668.344,76.30035,587.1125,-44.81481,2,1
LF_B02: 1077.346,12.30045,1271.11,-125.8147,2,1
LF_S07: 1241.034,-49.39634,1387.016,-106.2421,2,0
LF_A17: 896.5774,-38.95546,1153.751,-98.92072,2,1
LF_C01: 1149.347,-449.6996,899.1122,-297.8147,0,1
